molecule_chembl_id,canonical_smiles,standard_type,standard_value,pchembl_value,standard_units,target,target_name
CHEMBL252818,CC(=O)NC1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,Ki,0.01,11.0,nM,5-HT2A,Serotonin 5-HT2A
CHEMBL253022,CCC(=O)NC1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,Ki,0.01,11.0,nM,5-HT2A,Serotonin 5-HT2A
CHEMBL6023465,CC(C)Oc1ccc(COC(=O)Oc2ccc([N+](=O)[O-])cc2)cc1,Ki,0.016,10.8,nM,5-HT2A,Serotonin 5-HT2A
CHEMBL3652592,Cn1nccc1-c1cc(NC(=O)C(=O)c2ccc(F)cc2)ccc1OCCN,IC50,0.025,10.6,nM,5-HT2A,Serotonin 5-HT2A
CHEMBL5414080,CC1Cc2cc(CNC(=O)N(Cc3ccc(F)cc3)C3CCN(C)CC3)ccc2O1,Ki,0.03162,10.5,nM,5-HT2A,Serotonin 5-HT2A
CHEMBL5838844,CN1CCC(N(Cc2ccc(F)cc2F)C(=O)OCc2ccc(OC3CC3)cc2)CC1,Ki,0.032,10.49,nM,5-HT2A,Serotonin 5-HT2A
CHEMBL83894,O=S1(=O)c2cccc3cccc(c23)N1CCCN1CCN(c2ccc(F)cc2)CC1,Ki,0.04,10.4,nM,5-HT2A,Serotonin 5-HT2A
CHEMBL253878,O=C(Cc1ccccc1)NC1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,Ki,0.04,10.4,nM,5-HT2A,Serotonin 5-HT2A
CHEMBL149024,CC(N)Cc1c2ccoc2c(Br)c2ccoc12,Ki,0.04,10.4,nM,5-HT2A,Serotonin 5-HT2A
CHEMBL194455,CC1CC(=O)Nc2c(CCN3CCN(c4nsc5ccccc45)CC3)cc(Cl)cc21,Ki,0.05,10.3,nM,5-HT2A,Serotonin 5-HT2A
CHEMBL5414859,CN1CCC(N(Cc2ccc(F)cc2)C(=O)NCc2ccc3c(c2)CC(C)(C)O3)CC1,IC50,0.05012,10.3,nM,5-HT2A,Serotonin 5-HT2A
CHEMBL504699,Fc1ccc2c([C@@H]3CNCC[C@H]3F)c(-c3ccccc3)[nH]c2c1,Ki,0.06,10.22,nM,5-HT2A,Serotonin 5-HT2A
