molecule_chembl_id,canonical_smiles,standard_type,standard_value,pchembl_value,standard_units,target,target_name
CHEMBL511,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,IC50,0.014,10.85,nM,H1,Histamine H1
CHEMBL1626,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,Ki,0.049,10.31,nM,H1,Histamine H1
CHEMBL1628227,CN(C)CCC=C1c2ccccc2COc2ccccc21,Ki,0.066,10.18,nM,H1,Histamine H1
CHEMBL1767137,COc1ccc(Cc2nn(C[C@H]3CCCN3C)c(=O)c3ccccc23)cc1,Ki,0.1,10.0,nM,H1,Histamine H1
CHEMBL534,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,Ki,0.138,9.86,nM,H1,Histamine H1
CHEMBL1767136,CN1CCC[C@@H]1Cn1nc(Cc2ccc(Cl)cc2)c2ccccc2c1=O,Ki,0.1585,9.8,nM,H1,Histamine H1
CHEMBL1767138,CN1CCC[C@@H]1Cn1nc(Cc2ccc(O)cc2)c2ccccc2c1=O,Ki,0.1585,9.8,nM,H1,Histamine H1
CHEMBL6437,CN1CCN2c3ccccc3Cc3ccccc3C2C1,Ki,0.175,9.76,nM,H1,Histamine H1
CHEMBL860,CN(C)CC/C=C1\c2ccccc2COc2ccccc21,Ki,0.1778,9.75,nM,H1,Histamine H1
CHEMBL64249,CN1CCN(C2Cc3ccccc3Sc3ccc(Cl)cc32)CC1,Ki,0.19,9.72,nM,H1,Histamine H1
CHEMBL1767141,Cc1ccc(Cc2nn(C[C@H]3CCCN3C)c(=O)c3ccccc23)cc1,Ki,0.1995,9.7,nM,H1,Histamine H1
CHEMBL2146801,COCCN1CCC[C@@H]1Cn1nc(Cc2ccc(Cl)cc2)c2cnccc2c1=O,Ki,0.2512,9.6,nM,H1,Histamine H1
CHEMBL1767134,CN(C)CCn1nc(Cc2ccc(Cl)cc2)c2ccccc2c1=O,Ki,0.2512,9.6,nM,H1,Histamine H1
CHEMBL1767149,CN1CCC[C@@H]1Cn1nc(Cc2ccc(F)c(F)c2)c2ccccc2c1=O,Ki,0.2512,9.6,nM,H1,Histamine H1
CHEMBL1090527,C[C@H](C1=C(CCN(C)C)Cc2cc(F)ccc21)c1nccs1,Ki,0.3,9.52,nM,H1,Histamine H1
CHEMBL1767140,CN1CCC[C@@H]1Cn1nc(Cc2ccc(F)cc2)c2ccccc2c1=O,Ki,0.3162,9.5,nM,H1,Histamine H1
CHEMBL1767154,CN1CCC[C@H]1Cn1nc(Cc2ccc(Cl)cc2)c2ccccc2c1=O,Ki,0.3162,9.5,nM,H1,Histamine H1
CHEMBL2208424,N#Cc1cccc(OC[C@@H](O)CCN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)c1,Ki,0.3162,9.5,nM,H1,Histamine H1
CHEMBL2146809,CN1CCC[C@@H]1Cn1nc(Cc2ccc(Cl)cc2)c2ncccc2c1=O,Ki,0.3162,9.5,nM,H1,Histamine H1
CHEMBL643,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,Ki,0.334,9.48,nM,H1,Histamine H1
CHEMBL2146805,CN1CCC[C@@H]1Cn1nc(Cc2ccc(Cl)cc2)c2cnccc2c1=O,Ki,0.3467,9.46,nM,H1,Histamine H1
CHEMBL2146484,CN1CCC[C@@H]1Cn1nc(Cc2ccc(Cl)cc2)c2cccnc2c1=O,Ki,0.3548,9.45,nM,H1,Histamine H1
CHEMBL1201203,CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,Ki,0.37,9.43,nM,H1,Histamine H1
