canonical_smiles,molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,type,units,value,target,target_name
CCCS(=O)(=O)N1CCC(N2CCC(C3(c4ccc(S(=O)(=O)c5ccc6c(c5)OCO6)cc4)OCCO3)CC2)CC1,CHEMBL76164,11.0,Ki,nM,0.01,Ki,nM,0.01,M2,Muscarinic M2
C[N+]1(C)[C@@H]2C[C@@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@H]1[C@@H]1O[C@@H]12.O.[Br-],CHEMBL3545181,10.7,Ki,nM,0.01995,pKi,,10.7,M2,Muscarinic M2
C[C@@H]1CN(C2CCCCC2)CCN1[C@H](C)c1ccc(S(=O)(=O)c2ccc3c(c2)OCO3)cc1,CHEMBL164705,10.52,Ki,nM,0.03,Ki,nM,0.03,M2,Muscarinic M2
CCOC(=O)N1CCC(N2CCC(C3(c4ccc(S(=O)(=O)c5ccc6c(c5)OCO6)cc4)O[C@H](C)[C@@H](C)O3)CC2)CC1,CHEMBL328094,10.52,Ki,nM,0.03,Ki,nM,0.03,M2,Muscarinic M2
C=C(c1ccc([S@@+]([O-])c2ccc(OC)cc2)cc1)C1CCN(C2CCCCC2)CC1,CHEMBL2114068,10.52,Ki,nM,0.03,Ki,nM,0.03,M2,Muscarinic M2
C[C@@H]1CN(C2CCCCC2)CCN1[C@@H](C)c1ccc(S(=O)(=O)c2ccc3c(c2)OCO3)cc1,CHEMBL349497,10.52,Ki,nM,0.03,Ki,nM,0.03,M2,Muscarinic M2
CCCS(=O)(=O)N1CCC(N2CCC(C3(c4ccc(S(=O)(=O)c5ccc6c(c5)OCO6)cc4)SCCS3)CC2)CC1,CHEMBL90700,10.51,Ki,nM,0.031,Ki,nM,0.031,M2,Muscarinic M2
COc1ccc(S(=O)(=O)c2ccc([C@@H](C)N3CCN(C4CCCCC4)[C@@H](C)C3)cc2)cc1,CHEMBL350956,10.4,Ki,nM,0.04,Ki,nM,0.04,M2,Muscarinic M2
O=C(OC1CN2CCC1CC2)C(O)(c1ccccc1)c1ccccc1,CHEMBL12980,10.35,Ki,nM,0.045,Ki,nM,0.045,M2,Muscarinic M2
CC(C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)N1CC(Oc2ccccc2)C1,CHEMBL1910848,10.25,Ki,nM,0.056,Ki,nM,0.056,M2,Muscarinic M2
C=C(c1ccc([S@+]([O-])c2ccc(OC)cc2)cc1)C1CCN(C2CCCCC2)CC1,CHEMBL2115128,10.24,Ki,nM,0.057,Ki,nM,0.057,M2,Muscarinic M2
