molecule_chembl_id,canonical_smiles,standard_type,standard_value,pchembl_value,standard_units,target,target_name
CHEMBL3545181,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@H]1[C@@H]1O[C@@H]12.O.[Br-],Ki,0.0266,10.58,nM,M5,Muscarinic M5
CHEMBL219786,C[N+]1(C)CCC[C@H]1[C@H]1CS[C@@](c2ccccc2)(C2CCCCC2)O1.[I-],Ki,0.1072,9.97,nM,M5,Muscarinic M5
CHEMBL2449003,CN1[C@@H]2CC[C@H]1CC(OC(=O)[C@H](CO)c1ccccc1)C2,Ki,0.14,9.85,nM,M5,Muscarinic M5
CHEMBL551466,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1.[Br-],IC50,0.1585,9.8,nM,M5,Muscarinic M5
CHEMBL1910856,CC(C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)N1CC(Oc2cccc(O)c2)C1,Ki,0.169,9.77,nM,M5,Muscarinic M5
CHEMBL1201027,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1.[Br-],IC50,0.1995,9.7,nM,M5,Muscarinic M5
CHEMBL376057,C[N+]1(C)CCC[C@H]1[C@H]1CS[C@](c2ccccc2)(C2CCCCC2)O1.[I-],Ki,0.1995,9.7,nM,M5,Muscarinic M5
CHEMBL376897,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,Ki,0.2089,9.68,nM,M5,Muscarinic M5
CHEMBL517712,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,Ki,0.21,9.68,nM,M5,Muscarinic M5
CHEMBL76897,C[N+]1(C)CCC(OC(=O)C(c2ccccc2)c2ccccc2)CC1.[I-],Ki,0.22,9.66,nM,M5,Muscarinic M5
